loss,accuracy,val_loss,val_accuracy
0.9434860944747925,0.627801775932312,0.7376940250396729,0.7109500765800476
0.5676052570343018,0.7701276540756226,0.33354413509368896,0.8679549098014832
0.3262602388858795,0.8739571571350098,0.2000383585691452,0.9251207709312439
0.1893642246723175,0.9284350275993347,0.1041702926158905,0.9581320285797119
0.14814864099025726,0.9465273022651672,0.08607050031423569,0.9645732641220093
0.09968514740467072,0.9650216102600098,0.12706734240055084,0.955716609954834
0.0736643597483635,0.974469780921936,0.07158544659614563,0.9750402569770813
0.061863936483860016,0.9791938662528992,0.02420661225914955,0.9919484853744507
0.039955057203769684,0.987234890460968,0.05256499722599983,0.9847021102905273
0.07166077941656113,0.9791938662528992,0.014562876895070076,0.9975845217704773
0.012482136487960815,0.9966830611228943,0.014837726019322872,0.9951691031455994
0.014458675868809223,0.9955774545669556,0.32813721895217896,0.9009661674499512
0.043833181262016296,0.9858277440071106,0.02252936363220215,0.9951691031455994
0.006925487890839577,0.9983918070793152,0.0171944759786129,0.9943639039993286
0.03985690325498581,0.9890441298484802,0.015053349547088146,0.9927536249160767
0.06767857074737549,0.9807015657424927,0.01098141074180603,0.9943639039993286
0.029018232598900795,0.9928635954856873,0.01766158826649189,0.9943639039993286
